stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"1","1","Sunshine Station/City Pl ","-37.78774462","144.83197021","https://transport.vic.gov.au/stop/4641/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","",""
"10121","10121","Dorset Rd/Maroondah Hwy","-37.77136388","145.29475694","https://transport.vic.gov.au/stop/14118/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"10187","10187","Exeter Rd/Maroondah Hwy","-37.77044578","145.29545922","https://transport.vic.gov.au/stop/4348/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"10545","10545","Yendon Rd/Harbours Rd","-37.63659972","143.97231415","https://transport.vic.gov.au/stop/4225/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"12451","12451","Yendon Rd/Harbours Rd","-37.63649258","143.97235249","https://transport.vic.gov.au/stop/4225/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"13761","13761","Hudson Park/Sydney St","-37.29495217","144.95170761","https://transport.vic.gov.au/stop/4306/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"13762","13762","Hudson Park/Sydney St","-37.29570688","144.95209325","https://transport.vic.gov.au/stop/4306/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"13763","13763","High St/Main Rd","-37.27811812","144.73660672","https://transport.vic.gov.au/stop/4331/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"13764","13764","High St/Main Rd","-37.27804994","144.73681176","https://transport.vic.gov.au/stop/4331/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"13765","13765","Romsey Community Hub/Main St","-37.35008997","144.74281161","https://transport.vic.gov.au/stop/4338/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"13766","13766","Romsey Community Hub/Main St","-37.35012130","144.74303644","https://transport.vic.gov.au/stop/4338/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"13767","13767","Power St/High St","-37.12183397","144.85812800","https://transport.vic.gov.au/stop/4480/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"13768","13768","Power St/High St","-37.12173753","144.85827703","https://transport.vic.gov.au/stop/4480/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"13769","13769","General Store/Northern Hwy","-37.04395689","144.79860486","https://transport.vic.gov.au/stop/4481/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"13770","13770","General Store/Northern Hwy","-37.04444076","144.79893942","https://transport.vic.gov.au/stop/4481/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"14929","14929","Forest St/Warrenheip St","-37.64887563","143.88431076","https://transport.vic.gov.au/stop/4048/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"15096","15096","Jennings St/Northern Hwy","-36.92740598","144.71185196","https://transport.vic.gov.au/stop/4482/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"15097","15097","Jennings St/Northern Hwy","-36.92746867","144.71229911","https://transport.vic.gov.au/stop/4482/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"15098","15098","Axedale Rd/Northern Hwy","-36.72088575","144.68276330","https://transport.vic.gov.au/stop/4483/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"15099","15099","Axedale Rd/Northern Hwy","-36.72081587","144.68287735","https://transport.vic.gov.au/stop/4483/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"15100","15100","Bendigo-Murchison Rd/Northern Hwy","-36.59909812","144.65296846","https://transport.vic.gov.au/stop/4484/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
